State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,.Catch All Auto,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,411706,2808,0.0068,861.51,0.31,159,3861.73,0.2231,4.4825,0,0,0.00,0,0,0.00
,fuse beads,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,77771,851,0.0109,800.89,0.94,70,2318.58,0.3454,2.895,0,0,0.00,0,0,0.00
,fairy family,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,49511,619,0.0125,584.75,0.94,66,1553.86,0.3763,2.6573,0,0,0.00,0,0,0.00
,Cross stitch backpack charms,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,38083,542,0.0142,529.48,0.98,72,1590.88,0.3328,3.0046,0,0,0.00,0,0,0.00
,4 Flowers embroidery,PORTFOLIO_STATUS_ENABLED,MONTHLY_RECURRING,6000.00,12/31/69,12/31/69,,46324,556,0.012,415.98,0.75,23,556.55,0.7474,1.3379,0,0,0.00,0,0,0.00
,princess lacing cards,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,13288,339,0.0255,408.22,1.20,38,759.24,0.5377,1.8599,0,0,0.00,0,0,0.00
,Embroidery for kids,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,27456,416,0.0152,369.02,0.89,35,902.30,0.409,2.4451,0,0,0.00,0,0,0.00
,Latch Hook Pillow,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,33039,363,0.011,337.19,0.93,39,989.20,0.3409,2.9337,0,0,0.00,0,0,0.00
,Cat And Hat Knitting,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,27593,316,0.0115,247.27,0.78,26,822.36,0.3007,3.3258,0,0,0.00,0,0,0.00
,Shield All,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,19393,247,0.0127,202.98,0.82,33,845.26,0.2401,4.1643,0,0,0.00,0,0,0.00
,Cross And Embroidery Kits,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,7454,237,0.0318,161.05,0.68,20,401.60,0.401,2.4936,0,0,0.00,0,0,0.00
,biggie beads,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,11559,142,0.0123,155.67,1.10,26,699.44,0.2226,4.4931,0,0,0.00,0,0,0.00
,Latch hook kits,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,12630,158,0.0125,134.94,0.85,18,411.60,0.3278,3.0502,0,0,0.00,0,0,0.00
,Needlepoint,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,14481,225,0.0155,130.61,0.58,9,160.74,0.8126,1.2307,0,0,0.00,0,0,0.00
,Dessert Family,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6250,99,0.0158,102.91,1.04,7,159.86,0.6438,1.5534,0,0,0.00,0,0,0.00
,punch needle Plush heart,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,159,7,0.044,6.38,0.91,1,19.98,0.3193,3.1317,0,0,0.00,0,0,0.00
,Stitch Dictionary All,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,123,2,0.0163,0.14,0.07,0,0.00,0,0,0,0,0.00,0,0,0.00
,None15,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,4 embroidery flowers,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Embroidery kits for adults,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None22,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Bunny knitting other,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None19,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None1,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,none,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None4,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Sophie - Auto Low bulk,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None3,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None27,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None38,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None9,PORTFOLIO_STATUS_ENABLED,DATE_RANGE,15.00,9/10/23,12/31/69,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None 25,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None28,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None25,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None44,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None26,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None11,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None7,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None13,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None18,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None21,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Emma & Kate Family,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None32,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None2,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None8,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None43,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None17,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None29,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None5,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None6,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None14,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,minibeads pastel,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None39,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None33,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Latch Needlepoint Minibags,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None16,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None31,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None10,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Bunny Knitting loom kit,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None34,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None37,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None20,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None24,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None30,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,nnone,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None23,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None36,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None35,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,None12,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00